,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Regex
174,03/26/2022,2:10,MANHATTAN,10018.0,40.754707,-73.99164,"(40.754707, -73.99164)",WEST 38 STREET,8 AVENUE,,1.0,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513739,Bike,,,,,03.754707.99164
175,03/25/2022,0:00,BRONX,10458.0,40.85713,-73.8808,"(40.85713, -73.8808)",EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514180,Station Wagon/Sport Utility Vehicle,Sedan,,,,03.85713.8808
176,03/26/2022,4:00,BRONX,10468.0,40.857418,-73.89996,"(40.857418, -73.89996)",GRAND CONCOURSE,EAST 183 STREET,,0.0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4514209,Station Wagon/Sport Utility Vehicle,Sedan,,,,03.857418.89996
177,03/26/2022,4:34,QUEENS,11385.0,40.702972,-73.888054,"(40.702972, -73.888054)",CENTRAL AVENUE,66 PLACE,,0.0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4513795,Sedan,,,,,03.702972.888054
178,03/09/2022,11:56,,,40.786366,-73.97598,"(40.786366, -73.97598)",WEST 84 STREET,,,1.0,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4514297,Station Wagon/Sport Utility Vehicle,,,,,03.786366.97598
179,03/26/2022,14:41,BROOKLYN,11228.0,40.624474,-74.00668,"(40.624474, -74.00668)",70 STREET,12 AVENUE,,0.0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513572,Station Wagon/Sport Utility Vehicle,,,,,03.624474.00668
180,03/26/2022,18:00,QUEENS,11361.0,40.76532,-73.771904,"(40.76532, -73.771904)",39 AVENUE,BELL BOULEVARD,,0.0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4513591,Sedan,Sedan,,,,03.76532.771904
181,03/26/2022,13:30,,,40.597683,-73.96686,"(40.597683, -73.96686)",AVENUE U,,,0.0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514011,Sedan,,,,,03.597683.96686
182,03/26/2022,13:20,STATEN ISLAND,10305.0,40.609768,-74.06969,"(40.609768, -74.06969)",SAINT JOHNS AVENUE,TOMPKINS AVENUE,,1.0,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4513701,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,03.609768.06969
183,03/25/2022,21:35,MANHATTAN,10035.0,40.798286,-73.938705,"(40.798286, -73.938705)",,,231       EAST 117 STREET,0.0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4514155,Taxi,Sedan,,,,03.798286.938705
184,03/23/2022,21:00,QUEENS,11354.0,40.776764,-73.848015,"(40.776764, -73.848015)",,,25-03     120 STREET,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4514334,Sedan,,,,,03.776764.848015
185,03/26/2022,12:00,QUEENS,11377.0,40.747498,-73.91309,"(40.747498, -73.91309)",,,39-34     51 STREET,0.0,0,0,0,0,0,0,0,Unspecified,,,,,4513548,Sedan,,,,,03.747498.91309
186,03/26/2022,13:28,BROOKLYN,11206.0,40.701637,-73.942276,"(40.701637, -73.942276)",GRAHAM AVENUE,DEBEVOISE STREET,,1.0,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4514046,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,03.701637.942276
